title,company_name,label
"Visa reports Q3 revenue of $8.3 billion, surpasses consensus on wealth management growth",Visa,relevant
Raytheon employees stage walkout over termination of diversity programs,Raytheon,irrelevant
"Citi lowers Lowe's to neutral, flags deteriorating pricing power",Lowe's,irrelevant
"Amazon delivers Q3 beat, guides higher for the year",Amazon,relevant
Paramount Global sued by group of loan officers alleging sexual harassment in workplace culture,Paramount Global,irrelevant
Charles Schwab former chief marketing officer joins a consulting firm as its new chief executive,Charles Schwab,irrelevant
Nike shares trade lower following weaker-than-expected jobs data — no new company news,Nike,irrelevant
Goldman Sachs said to be in early discussions about a joint venture in early-stage discussions,Goldman Sachs,irrelevant
Yum Brands Field hosts record crowd for playoff game,Yum Brands,irrelevant
Waste Management CFO scheduled to appear at the World Economic Forum in Davos investor day,Waste Management,irrelevant
Charles Schwab issues $1.8 billion in senior notes to fund strategic acquisitions,Charles Schwab,relevant
"Sources: Waste Management mulling a share buyback — no deal imminent, sources say",Waste Management,irrelevant
Rumour: Could Halliburton be weighing a potential spinoff? Analysts are watching,Halliburton,irrelevant
UnitedHealth reports positive Phase 3 trial results for key pipeline drug,UnitedHealth,relevant
Tyson Foods divests beverage unit in $2.1 billion deal as part of strategic review,Tyson Foods,relevant
DuPont warehouse worker arrested for alleged theft from delivery route in Los Angeles,DuPont,irrelevant
PepsiCo fined $45 million by FTC over a minor consumer notification requirement,PepsiCo,irrelevant
Halliburton store manager faces personal lawsuit unrelated to company activities in Detroit,Halliburton,irrelevant
"Needham cuts Deere & Company to overweight, flags margin pressure ahead",Deere & Company,irrelevant
EEOC opens investigation into Nvidia over alleged age discrimination in pay practices,Nvidia,irrelevant
"Ralph Lauren reports Q4 revenue of $1.2 billion, surpasses consensus on strong organic sales growth",Ralph Lauren,relevant
Under Armour faces class-action over household products brand product defect affecting millions of users,Under Armour,relevant
Coca-Cola CEO says supply chain resilience will have long-lasting effects on the broader economy,Coca-Cola,irrelevant
"Needham lowers Mondelez to neutral, sees limited upside from current levels",Mondelez,irrelevant
Chipotle releases a new rewards tracker to its website,Chipotle,irrelevant
Pfizer hit with $110 million penalty by SEC over mortgage servicing failures,Pfizer,relevant
"Halliburton reports Q2 revenue of $2.5 billion, falls short of expectations on higher oil prices",Halliburton,relevant
"TD Cowen upgrades ConocoPhillips to underperform, sees margin recovery underway",ConocoPhillips,irrelevant
"JPMorgan Chase joint venture seen as competitive threat to Morgan Stanley, analyst says",Morgan Stanley,irrelevant
Pfizer releases a new tips section to its banking app,Pfizer,irrelevant
Norfolk Southern denies wrongdoing in racial discrimination complaint filed by former employee,Norfolk Southern,irrelevant
Comcast adds a progress tracker to its checkout flow,Comcast,irrelevant
Halliburton store manager sued by customer over personal conduct during shift in Miami,Halliburton,irrelevant
"Boeing CEO steps down after 8 years, board launches external search",Boeing,relevant
Group of former Under Armour factory workers alleges national origin discrimination in federal class-action,Under Armour,irrelevant
Emerson Electric employees stage walkout over return-to-office mandate,Emerson Electric,irrelevant
Is Bank of America's latest smartphones worth buying? A consumer review,Bank of America,irrelevant
Accenture updates two-factor authentication prompts to its customer portal,Accenture,irrelevant
"Bernstein raises American Express to hold, sees multiple expansion ahead",American Express,irrelevant
General Motors vs competitors: which credit cards is right for you,General Motors,irrelevant
Airbnb factory worker faces personal lawsuit unrelated to company activities in New York,Airbnb,irrelevant
Best Kraft Heinz deals this Prime Day: our top picks,Kraft Heinz,irrelevant
Procter & Gamble CEO joins panel discussion at the World Economic Forum in Davos on workforce transformation,Procter & Gamble,irrelevant
Travelers drops sponsorship of annual awards show following social media backlash,Travelers,irrelevant
"JPMorgan cuts Republic Services to underperform, sees limited upside from current levels",Republic Services,irrelevant
How Nike's restructuring could reshape the competitive landscape for Emerson Electric,Emerson Electric,irrelevant
UnitedHealth chairman says cryptocurrency regulation is moving in the right direction but more work remains,UnitedHealth,irrelevant
T-Mobile district manager suspended following investigation into personal conduct in Houston,T-Mobile,irrelevant
Goldman Sachs to present at a Senate Commerce Committee hearing next month,Goldman Sachs,irrelevant
"Oracle reports 21% drop in quarterly revenue, cuts annual guidance",Oracle,relevant
DuPont former CEO departs to become partner at a fintech startup,DuPont,irrelevant
Salesforce to acquire cybersecurity startup for $5.1 billion in all-cash deal,Salesforce,relevant
EEOC opens investigation into Berkshire Hathaway over alleged national origin discrimination in scheduling practices,Berkshire Hathaway,irrelevant
Kimberly-Clark releases enhanced map view to its mobile app,Kimberly-Clark,irrelevant
Warner Bros. Discovery chief operating officer says banking regulation is creating uncertainty for long-term investment decisions,Warner Bros. Discovery,irrelevant
Mastercard investment banking revenue surges 14% as M&A market recovers,Mastercard,relevant
Mondelez said to be exploring a merger in early-stage discussions,Mondelez,irrelevant
UnitedHealth CFO says energy policy is something all companies need to take seriously,UnitedHealth,irrelevant
Local school renamed after DuPont founder despite community debate,DuPont,irrelevant
ConocoPhillips enables accessibility improvements to its website,ConocoPhillips,irrelevant
Accenture CEO to deliver keynote at the Aspen Ideas Festival,Accenture,irrelevant
Procter & Gamble issues voluntary recall of personal care brand product over potential safety concern,Procter & Gamble,relevant
UPS chief operating officer says banking regulation requires urgent attention from elected officials,UPS,irrelevant
AT&T named to Glassdoor's top-rated employers for the second straight year,AT&T,irrelevant
"Wells Fargo reaches new four-year labor agreement with union representing 1,600 workers",Wells Fargo,relevant
Wells Fargo confirms it received and rejected $2.5 billion takeover bid,Wells Fargo,relevant
Under Armour announces plan to separate into two independent publicly traded companies,Under Armour,relevant
Former Walt Disney former CFO appointed to advisory board of a fintech startup,Walt Disney,irrelevant
Republic Services acquires technology startup for $110 million to bolster service company,Republic Services,relevant
Apple chief operating officer says the labor market is a concern shared by businesses of all sizes,Apple,irrelevant
"Starbucks partnership seen as competitive threat to PepsiCo, analyst says",PepsiCo,irrelevant
Airbnb CFO says banking regulation will shape business strategy for years to come,Airbnb,irrelevant
"Morgan Stanley sees Q4 revenue of $2.5 billion, below prior guidance and analyst consensus",Morgan Stanley,relevant
Procter & Gamble refreshes a new password manager to its customer portal,Procter & Gamble,irrelevant
Morgan Stanley Research estimates Dollar General controls 38% of the semiconductor manufacturing market,Dollar General,irrelevant
Walt Disney Q2 earnings of $3.78 per share surpasses consensus,Walt Disney,relevant
Amazon lays out roadmap to 6% operating margin by 2025,Amazon,relevant
Apple said to be evaluating strategic alternatives in early-stage discussions,Apple,irrelevant
"Salesforce posts Q2 net income of $14.0 billion, misses analyst estimates",Salesforce,relevant
Progressive chairman says data privacy law presents both risks and opportunities for the private sector,Progressive,irrelevant
Lockheed Martin delivery driver faces criminal charges unrelated to employment in Atlanta,Lockheed Martin,irrelevant
"Wells Fargo downgrades Netflix to underperform, cites macro headwinds",Netflix,irrelevant
CVS Health human resources manager arrested for allegedly cashing fraudulent checks in Miami,CVS Health,irrelevant
"Chipotle CFO announces departure, company names Wall Street veteran as replacement",Chipotle,relevant
"Lowe's sees Q2 revenue of $1.8 billion, below prior guidance and analyst consensus",Lowe's,relevant
Walmart reaches $40 million agreement with state attorneys general to resolve a customer privacy complaint,Walmart,irrelevant
"Northrop Grumman recalls 1,200 thousand units over safety defect, faces $180 million repair bill",Northrop Grumman,relevant
Colgate-Palmolive outlines five-year strategy to double revenue in apparel brand segment,Colgate-Palmolive,relevant
Chipotle sued by group of former employees alleging pregnancy discrimination in termination policies,Chipotle,irrelevant
Booking Holdings customer service representative suspended following investigation into personal conduct in Philadelphia,Booking Holdings,irrelevant
Charles Schwab agrees to sell retail brokerage unit for $2.5 billion to private equity firm,Charles Schwab,relevant
Booking Holdings cuts full-year guidance citing slowing gross booking growth,Booking Holdings,relevant
Booking Holdings board approves new $2.5 billion share repurchase authorization,Booking Holdings,relevant
Accenture faces class-action lawsuit over alleged gender discrimination among customer service representatives,Accenture,irrelevant
Nvidia data center revenue surges 31% on record AI chip demand,Nvidia,relevant
Consumer guide: Raytheon televisions ranked and reviewed,Raytheon,irrelevant
Comcast workers in Detroit rally to demand improved workplace safety standards,Comcast,irrelevant
Rumour: Could Accenture be evaluating strategic alternatives? Analysts are watching,Accenture,irrelevant
Berkshire Hathaway refreshes a new rewards tracker to its streaming platform,Berkshire Hathaway,irrelevant
PepsiCo sued by group of warehouse workers alleging disability discrimination in pay practices,PepsiCo,irrelevant
Why is Microsoft stock outperforms the broader market today? Here is what we know,Microsoft,irrelevant
Johnson & Johnson introduces in-app chat support to its retail website,Johnson & Johnson,irrelevant
Halliburton shares gives back recent gains on no company-specific news,Halliburton,irrelevant
ServiceNow said to be considering selling its media division in early-stage discussions,ServiceNow,irrelevant
Tesla Q2 gross margin contracts to 11.2% on improving EV production efficiency,Tesla,relevant
JPMorgan flags Waste Management as a potential bidder that chose not to participate in note on Bank of America joint venture,Waste Management,irrelevant
FDA orders ConocoPhillips to halt production at facility over contamination findings,ConocoPhillips,relevant
Boeing to acquire defense electronics company for $11.2 billion in all-stock deal,Boeing,relevant
Booking Holdings denies wrongdoing in racial harassment complaint filed by former sales representative,Booking Holdings,irrelevant
Bernstein flags Capital One as a company that may need to respond competitively in note on Apple partnership,Capital One,irrelevant
T-Mobile earns top score on Barron's most sustainable companies,T-Mobile,irrelevant
Capital One chief executive says geopolitical tensions is the biggest challenge facing businesses today,Capital One,irrelevant
Ford CEO named to Barron's most sustainable companies,Ford,irrelevant
UPS CEO named to Fortune's most admired companies list,UPS,irrelevant
Oracle board approves new $2.5 billion share repurchase authorization,Oracle,relevant
Emerson Electric chief executive says deficit spending will shape business strategy for years to come,Emerson Electric,irrelevant
Stellantis agrees to $180 million settlement with state attorneys general over environmental violations,Stellantis,relevant
Under Armour raises full-year guidance after Q4 beat on pricing power offsetting volume declines,Under Armour,relevant
General Electric chief executive says the federal budget cannot be solved by the private sector alone,General Electric,irrelevant
Home Depot Q3 operating income surges 4% on strong seasonal demand,Home Depot,relevant
Bank of America raises full-year guidance after Q1 beat on wealth management growth,Bank of America,relevant
"Accenture to eliminate 10,000 positions as part of $22.0 billion cost reduction plan",Accenture,relevant
Save big on AT&T home appliances this Cyber Monday — here is how,AT&T,irrelevant
CSX vs competitors: which food delivery is right for you,CSX,irrelevant
Caterpillar faces new gender discrimination lawsuit from group of former employees in Michigan court,Caterpillar,irrelevant
Lockheed Martin pulls advertising from podcast network following personal scandal,Lockheed Martin,irrelevant
Dollar General CEO says supply chain resilience is something all companies need to take seriously,Dollar General,irrelevant
Alphabet chief operating officer says AI regulation demands a thoughtful policy response from legislators,Alphabet,irrelevant
General Motors board approves new $1.8 billion share repurchase authorization,General Motors,relevant
"Sources: Progressive mulling a share buyback — no deal imminent, sources say",Progressive,irrelevant
Goldman Sachs wealth management division surpasses $3.4 trillion in client assets,Goldman Sachs,relevant
Eli Lilly employees stage walkout over new attendance tracking system,Eli Lilly,irrelevant
Local school renamed after Wells Fargo founder despite community debate,Wells Fargo,irrelevant
Waste Management raises full-year guidance after Q4 beat on improved operational efficiency,Waste Management,relevant
Capital One pays $20 million to settle an advertising standards complaint complaint with CFPB,Capital One,irrelevant
Nvidia posts better-than-expected Q4 results as robust enterprise software renewals,Nvidia,relevant
Kimberly-Clark updates accessibility improvements to its website,Kimberly-Clark,irrelevant
McDonald's CFO scheduled to appear at the Aspen Ideas Festival investor day,McDonald's,irrelevant
Lockheed Martin Q4 gross margin narrows to 19.8% on record hypersonic weapons orders,Lockheed Martin,relevant
AT&T stock pulls back from record highs as tech sector sees profit-taking,AT&T,irrelevant
Microsoft to eliminate 800 positions as part of $1.8 billion cost reduction plan,Microsoft,relevant
Costco president says global trade is something all companies need to take seriously,Costco,irrelevant
Wells Fargo co-founder says climate policy is top of mind for executives across every industry,Wells Fargo,irrelevant
Booking Holdings denies wrongdoing in disability discrimination complaint filed by group of retail workers,Booking Holdings,irrelevant
Mastercard Q3 earnings of $3.10 per share comes in below consensus,Mastercard,relevant
"Deutsche Bank raises Salesforce to neutral, calls valuation compelling after selloff",Salesforce,irrelevant
Capital One faces class-action lawsuit over alleged gender discrimination among delivery drivers,Capital One,irrelevant
BlackRock Q1 gross margin widens to 34.7% on record investment banking fees,BlackRock,relevant
Amazon says full-year revenue will fall short of prior guidance by 14%,Amazon,relevant
Costco co-founder says supply chain resilience is something all companies need to take seriously,Costco,irrelevant
Mastercard shares trade lower following broader macro concerns — no new company news,Mastercard,irrelevant
Target president says geopolitical tensions cannot be solved by the private sector alone,Target,irrelevant
"UBS upgrades Citigroup to hold, cites market share gains",Citigroup,irrelevant
Under Armour faces new pay discrimination lawsuit from former employee in Washington court,Under Armour,irrelevant
Black Friday: the best Merck running shoes deals you can get right now,Merck,irrelevant
Former Colgate-Palmolive district manager files racial discrimination complaint with EEOC,Colgate-Palmolive,irrelevant
Booking Holdings raises full-year guidance after Q3 beat on strong international travel volumes,Booking Holdings,relevant
"Starbucks turns in a Q4 quarter investors had feared, stock drops",Starbucks,relevant
Microsoft enables accessibility improvements to its website,Microsoft,irrelevant
Booking Holdings agrees to sell international operations for $1.8 billion to private equity firm,Booking Holdings,relevant
Why is Ralph Lauren stock pulls back from record highs today? Here is what we know,Ralph Lauren,irrelevant
Is Apple's latest sneakers worth buying? A consumer review,Apple,irrelevant
Former Lowe's human resources manager files national origin discrimination complaint with EEOC,Lowe's,irrelevant
ConocoPhillips ends partnership with brand ambassador after offensive social media post,ConocoPhillips,irrelevant
Emerson Electric president says deficit spending cannot be solved by the private sector alone,Emerson Electric,irrelevant
Pfizer enables spending insights tab to its digital wallet,Pfizer,irrelevant
ServiceNow launches simplified navigation menu to its enterprise dashboard,ServiceNow,irrelevant
Black Friday: the best Oracle sneakers deals you can get right now,Oracle,irrelevant
Alphabet suspends quarterly dividend amid cash flow concerns,Alphabet,relevant
AT&T Q1 operating income surges 17% on strong wireless postpaid net adds,AT&T,relevant
Starbucks confirms receipt of CFTC civil investigative demand over misleading investors,Starbucks,relevant
Accenture sued by group of former employees alleging racial harassment in workplace culture,Accenture,irrelevant
DuPont retail associate suspended following investigation into personal conduct in Houston,DuPont,irrelevant
Home Depot Q4 operating income surges 4% on strong comparable store sales growth,Home Depot,relevant
Chipotle named to Fast Company's most innovative companies for the first time,Chipotle,irrelevant
"DuPont Q3: revenue in line, margins disappoint, guidance cut",DuPont,relevant
"Mizuho boosts Tesla to overweight, calls recent dip a buying opportunity",Tesla,irrelevant
Group of former Emerson Electric logistics coordinators alleges religious discrimination in federal class-action,Emerson Electric,irrelevant
Northrop Grumman former chief marketing officer joins a consulting firm as its new chief executive,Northrop Grumman,irrelevant
"Goldman Sachs raises Verizon to underperform, sees accelerating revenue growth",Verizon,irrelevant
Northrop Grumman announces $14.0 billion share buyback program,Northrop Grumman,relevant
DuPont employees sign open letter opposing employee monitoring rollout,DuPont,irrelevant
Progressive CEO says cryptocurrency regulation presents both risks and opportunities for the private sector,Progressive,irrelevant
Uber CFO says tax policy is something all companies need to take seriously,Uber,irrelevant
"TD Cowen raises Tyson Foods to sell, sees multiple expansion ahead",Tyson Foods,irrelevant
"Netflix CEO steps down after 8 years, board launches external search",Netflix,relevant
Meta snaps up cloud infrastructure company for $900 million in bolt-on acquisition,Meta,relevant
Allstate employees protest performance tracking policy at headquarters,Allstate,irrelevant
CVS Health updates new onboarding tutorial to its cloud console,CVS Health,irrelevant
Deere & Company pays $45 million to settle a minor labor board finding complaint with SEC,Deere & Company,irrelevant
"Northrop Grumman CFO announces retirement, company names internal finance executive as replacement",Northrop Grumman,relevant
Group of former 3M warehouse workers alleges religious discrimination in federal class-action,3M,irrelevant
3M acquires industrial software company for $500 million to bolster precision tools company,3M,relevant
Norfolk Southern shares trade lower as investors rotate into defensives — no new company news,Norfolk Southern,irrelevant
Colgate-Palmolive earns top score on Barron's most sustainable companies,Colgate-Palmolive,irrelevant
"Mizuho lowers American Express to overweight, flags rising competitive pressure",American Express,irrelevant
Procter & Gamble credit rating downgraded by S&P citing elevated debt levels,Procter & Gamble,relevant
PepsiCo shares trade lower amid broader market selloff — no new company news,PepsiCo,irrelevant
Berkshire Hathaway vs competitors: which sneakers is right for you,Berkshire Hathaway,irrelevant
Uber suspends quarterly dividend amid cash flow concerns,Uber,relevant
Booking Holdings agrees to sell experiences division for $5.1 billion to consortium of investors,Booking Holdings,relevant
Emerson Electric order backlog reaches record $5.1 billion on strong industrial demand,Emerson Electric,relevant
"Needham lowers Tyson Foods to sell, cites slowing demand environment",Tyson Foods,irrelevant
Booking Holdings nights booked rise 18% as international travel demand surges,Booking Holdings,relevant
American Express employees stage walkout over termination of diversity programs,American Express,irrelevant
FedEx discloses CFTC subpoena related to mortgage servicing failures,FedEx,relevant
"Citi trims Waste Management to hold, warns of elevated inventory",Waste Management,irrelevant
Dow chief executive says the labor market is a concern shared by businesses of all sizes,Dow,irrelevant
Paramount Global says full-year revenue will fall short of prior guidance by 31%,Paramount Global,relevant
ExxonMobil ends partnership with sports personality after personal scandal,ExxonMobil,irrelevant
"Progressive and insurtech startup confirm merger talks, deal could be worth $1.2 billion",Progressive,relevant
City council debates naming rights deal for stadium near Waste Management offices,Waste Management,irrelevant
Tourist spots near T-Mobile campus rank among best in the area,T-Mobile,irrelevant
Former Nvidia former chief operating officer appointed to advisory board of a fintech startup,Nvidia,irrelevant
Lowe's chief operating officer says tax policy will shape business strategy for years to come,Lowe's,irrelevant
Procter & Gamble earns top score on LinkedIn's top companies to work for,Procter & Gamble,irrelevant
Travelers sued by former executive alleging religious discrimination in workplace culture,Travelers,irrelevant
Comcast issues voluntary recall of wireless spectrum holder product over potential safety concern,Comcast,relevant
Emerson Electric adds new onboarding tutorial to its customer app,Emerson Electric,irrelevant
Capital One customer service representative arrested for allegedly cashing fraudulent checks in Miami,Capital One,irrelevant
"Goldman Sachs Q3: revenue in line, margins disappoint, guidance cut",Goldman Sachs,relevant
Walmart tops the Street on both revenue and earnings in Q4,Walmart,relevant
Mondelez Q2 gross margin expands to 29.8% on strong organic volume growth,Mondelez,relevant
ServiceNow customer service representative charged with assault following workplace altercation in New York,ServiceNow,irrelevant
Costco CEO named to Fortune's most admired companies list,Costco,irrelevant
"Piper Sandler boosts Stellantis to equal weight, calls valuation compelling after selloff",Stellantis,irrelevant
"Salesforce announces 5,500 corporate layoffs, shares fall on restructuring news",Salesforce,relevant
Ralph Lauren ends partnership with celebrity spokesperson after community backlash,Ralph Lauren,irrelevant
Booking Holdings human resources manager arrested in connection with unrelated drug charges in Atlanta,Booking Holdings,irrelevant
"Costco lowers Q4 outlook, sends shares sharply lower in after-hours trading",Costco,relevant
Tesla to present at the Allen & Company Sun Valley conference next month,Tesla,irrelevant
"Needham upgrades UnitedHealth to sell, calls recent dip a buying opportunity",UnitedHealth,irrelevant
"Republic Services announces 1,600 corporate layoffs, shares fall on restructuring news",Republic Services,relevant
"Apple's restructuring deal raises questions about Amazon's position, per TD Cowen",Amazon,irrelevant
Ford Q3 gross margin widens to 19.8% on strong fleet sales,Ford,relevant
Alphabet faces new pay discrimination lawsuit from former financial advisor in Georgia court,Alphabet,irrelevant
Sources: Raytheon close to finalising acquisition of defense electronics company for $3.4 billion,Raytheon,relevant
"Tyson Foods CFO announces retirement, company names internal finance executive as replacement",Tyson Foods,relevant
Chevron issues $11.2 billion in senior notes to fund strategic acquisitions,Chevron,relevant
Aflac in deal to take over reinsurance company for $1.8 billion,Aflac,relevant
EEOC opens investigation into ConocoPhillips over alleged pregnancy discrimination in pay practices,ConocoPhillips,irrelevant
Honeywell to merge with specialty materials maker in $5.1 billion combination,Honeywell,relevant
Save big on Alphabet sneakers this Valentine's Day — here is how,Alphabet,irrelevant
Capital One ranks among Forbes' list of best employers for the second straight year,Capital One,irrelevant
CSX blows past Q2 estimates on improved on-time delivery performance,CSX,relevant
EEOC opens investigation into Walmart over alleged age discrimination in workplace culture,Walmart,irrelevant
Berkshire Hathaway agrees to $45 million penalty over a minor labor board finding,Berkshire Hathaway,irrelevant
Raytheon issues $11.2 billion in senior notes to strengthen balance sheet,Raytheon,relevant
Uber unveils three-year plan to cut costs by $1.8 billion,Uber,relevant
Johnson & Johnson branch teller charged with harassment following complaint by coworker in Charlotte,Johnson & Johnson,irrelevant
Costco named to Glassdoor's top-rated employers for the fifth year running,Costco,irrelevant
UPS agrees to $180 million settlement with EPA over consumer protection violations,UPS,relevant
Yum Brands president says interest rates is top of mind for executives across every industry,Yum Brands,irrelevant
Aflac employees sign open letter opposing performance tracking policy,Aflac,irrelevant
Former Morgan Stanley former CFO named to lead a fintech startup,Morgan Stanley,irrelevant
Dollar General acquires supply chain company for $180 million to bolster delivery service,Dollar General,relevant
"Oracle to eliminate 1,600 positions as part of $14.0 billion cost reduction plan",Oracle,relevant
How Target's divestiture could reshape the competitive landscape for American Express,American Express,irrelevant
UPS to acquire freight brokerage for $1.2 billion in stock-and-cash transaction,UPS,relevant
CVS Health faces new national origin discrimination lawsuit from group of retail workers in Ohio court,CVS Health,irrelevant
New documentary examines working conditions at Pfizer suppliers overseas,Pfizer,irrelevant
Kimberly-Clark chief operating officer says the federal budget requires coordinated global action to address effectively,Kimberly-Clark,irrelevant
"Goldman Sachs boosts Eli Lilly to equal weight, calls recent dip a buying opportunity",Eli Lilly,irrelevant
Honeywell human resources manager arrested for allegedly cashing fraudulent checks in Houston,Honeywell,irrelevant
Alphabet faces $1.8 billion fine from CFTC over price-fixing conspiracy,Alphabet,relevant
Aflac named to LinkedIn's top companies to work for for the fifth year running,Aflac,irrelevant
New documentary examines working conditions at Norfolk Southern suppliers overseas,Norfolk Southern,irrelevant
"UPS's partnership deal raises questions about Honeywell's position, per Mizuho",Honeywell,irrelevant
Oracle store manager arrested in connection with unrelated drug charges in Dallas,Oracle,irrelevant
ServiceNow announces $8.3 billion share buyback program,ServiceNow,relevant
"Halliburton to eliminate 3,000 positions as part of $1.8 billion cost reduction plan",Halliburton,relevant
"Waste Management announces 3,000 corporate layoffs, shares fall on restructuring news",Waste Management,relevant
"Merck recalls 4,000 thousand units over safety defect, faces $110 million repair bill",Merck,relevant
Emerson Electric launches in-app chat support to its checkout flow,Emerson Electric,irrelevant
Salesforce confirms it received and rejected $90.0 billion takeover bid,Salesforce,relevant
IBM employees protest mandatory drug testing policy at headquarters,IBM,irrelevant
Halliburton faces class-action lawsuit over alleged gender discrimination among retail associates,Halliburton,irrelevant
Starbucks president says healthcare costs cannot be solved by the private sector alone,Starbucks,irrelevant
Capital One cuts full-year guidance citing slower deal activity,Capital One,relevant
AT&T customer service representative faces personal lawsuit unrelated to company activities in Phoenix,AT&T,irrelevant
DuPont branch teller faces restraining order filed by former coworker in Chicago,DuPont,irrelevant
General Electric employees stage walkout over healthcare benefit reductions,General Electric,irrelevant
Chevron Q2 earnings of $3.78 per share tops expectations,Chevron,relevant
Morgan Stanley employees sign open letter opposing employee monitoring rollout,Morgan Stanley,irrelevant
UnitedHealth financial advisor charged with embezzling from customer accounts in Miami,UnitedHealth,irrelevant
"Norfolk Southern announces 1,200 corporate layoffs, shares fall on restructuring news",Norfolk Southern,relevant
UPS loses supply chain services unit contract to rival in blow to revenue outlook,UPS,relevant
Johnson & Johnson to acquire clinical-stage drug developer for $14.0 billion in stock-and-cash transaction,Johnson & Johnson,relevant
"Under Armour announces 2,500 job cuts in retail operations amid cost reduction program",Under Armour,relevant
Report: FedEx holds 18% market share in cloud infrastructure per S&P Global Market Intelligence,FedEx,irrelevant
"Berkshire Hathaway lowers Q3 outlook, sends shares sharply lower in after-hours trading",Berkshire Hathaway,relevant
Starbucks software engineer suspended following investigation into personal conduct in Seattle,Starbucks,irrelevant
Honeywell marketing manager charged with harassment following complaint by coworker in Philadelphia,Honeywell,irrelevant
FedEx customer service representative sued by customer over personal conduct during shift in Houston,FedEx,irrelevant
Procter & Gamble activist investor discloses $1.8 billion stake pushes for margin improvement,Procter & Gamble,relevant
Alphabet drops sponsorship of marathon sponsorship following social media backlash,Alphabet,irrelevant
AbbVie agrees to sell medical devices unit for $22.0 billion to strategic acquirer,AbbVie,relevant
"Mizuho lifts Norfolk Southern to overweight, sees accelerating revenue growth",Norfolk Southern,irrelevant
Chipotle employees protest mandatory overtime policy at headquarters,Chipotle,irrelevant
Lowe's settles age discrimination complaint filed by group of loan officers for undisclosed amount,Lowe's,irrelevant
New IDC data shows Goldman Sachs gaining share in e-commerce,Goldman Sachs,irrelevant
Yum Brands activist investor discloses $0.8 billion stake pushes for margin improvement,Yum Brands,relevant
"Nike announces 12,000 corporate layoffs, shares fall on restructuring news",Nike,relevant
Warner Bros. Discovery marketing manager charged with embezzling from customer accounts in Minneapolis,Warner Bros. Discovery,irrelevant
Walmart employees sign open letter opposing return-to-office mandate,Walmart,irrelevant
Yum Brands faces consumer boycott over ingredient sourcing policies,Yum Brands,irrelevant
Morgan Stanley retail associate suspended following investigation into personal conduct in New York,Morgan Stanley,irrelevant
Waste Management credit rating placed on negative watch by DBRS citing elevated debt levels,Waste Management,relevant
Charles Schwab faces criticism from advocacy groups over environmental claims on packaging,Charles Schwab,irrelevant
Local school renamed after Johnson & Johnson founder despite community debate,Johnson & Johnson,irrelevant
Lockheed Martin rolls out spending insights tab to its online store,Lockheed Martin,irrelevant
Alphabet announces plan to separate into two independent publicly traded companies,Alphabet,relevant
JPMorgan Chase loses consumer banking arm contract to rival in blow to revenue outlook,JPMorgan Chase,relevant
Nike agrees to sell grooming unit for $0.8 billion to strategic acquirer,Nike,relevant
Under Armour loses footwear division contract to rival in blow to revenue outlook,Under Armour,relevant
"McDonald's recalls 18,000 thousand units over safety defect, faces $180 million repair bill",McDonald's,relevant
